step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v9,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238465
0,B0100,L7_far_high_slow_aggressive,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"ClimbTo",-0.240640
1,A0100,adaptive_eagle_v9,HABFM,3313.152681,95.563967,84.489238,179.848472,-95.564074,14999.619595,388.303696,21674.678560,259.053985,56.500691,-91.688737,0.170408,False,False,False,False,True,True,True,2-circle,-1.000000,0.651412,100.000000,100.000000,0.000000,0.000000,-85.766117,4.245201,0.911448,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.192363
1,B0100,L7_far_high_slow_aggressive,HABFM,3313.152681,95.563967,84.489238,179.848472,-95.564074,14999.619595,388.303696,21674.678560,259.053985,56.500691,-91.688737,0.170408,False,False,False,False,True,True,True,2-circle,-1.000000,0.651412,100.000000,100.000000,0.000000,0.000000,-85.766117,4.245201,0.911448,4,4,2,0.0000,0.0000,0.0000,0.5000,"ClimbTo",-0.217233
2,A0100,adaptive_eagle_v9,HABFM,3358.949257,101.165544,79.571338,176.953938,-101.165700,14999.889476,389.020280,21699.607775,124.646077,140.119961,-177.971661,0.209063,False,False,False,False,True,True,True,2-circle,-1.000000,3.730286,100.000000,100.000000,0.000000,0.000000,-84.852344,5.212478,6.949116,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.136396
2,B0100,L7_far_high_slow_aggressive,HABFM,3358.949257,101.165544,79.571338,176.953938,-101.165700,14999.889476,389.020280,21699.607775,124.646077,140.119961,-177.971661,0.209063,False,False,False,False,True,True,True,2-circle,-1.000000,3.730286,100.000000,100.000000,0.000000,0.000000,-84.852344,5.212478,6.949116,4,4,2,0.0000,0.0000,0.0000,0.5000,"ClimbTo",-0.186762
3,A0100,adaptive_eagle_v9,HABFM,3431.780969,106.503674,75.799628,172.405225,-106.519565,15005.071990,388.133231,21674.271572,-126.681018,167.353312,-250.840909,0.101850,False,False,False,False,True,True,True,2-circle,-1.000000,7.634449,100.000000,100.000000,0.000000,0.000000,-92.672172,-2.539398,11.962234,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.091694
3,B0100,L7_far_high_slow_aggressive,HABFM,3431.780969,106.503674,75.799628,172.405225,-106.519565,15005.071990,388.133231,21674.271572,-126.681018,167.353312,-250.840909,0.101850,False,False,False,False,True,True,True,2-circle,-1.000000,7.634449,100.000000,100.000000,0.000000,0.000000,-92.672172,-2.539398,11.962234,4,4,2,0.0000,0.0000,0.0000,0.5000,"ClimbTo",-0.154789
4,A0100,adaptive_eagle_v9,HABFM,3526.636843,111.349659,73.117472,168.389023,-111.417216,15016.265537,387.515776,21664.262827,-50.043721,231.049023,-309.307640,0.191103,False,False,False,False,True,True,True,2-circle,-1.000000,10.589995,100.000000,100.000000,0.000000,0.000000,-94.935086,-4.750466,14.806570,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.080880
4,B0100,L7_far_high_slow_aggressive,HABFM,3526.636843,111.349659,73.117472,168.389023,-111.417216,15016.265537,387.515776,21664.262827,-50.043721,231.049023,-309.307640,0.191103,False,False,False,False,True,True,True,2-circle,-1.000000,10.589995,100.000000,100.000000,0.000000,0.000000,-94.935086,-4.750466,14.806570,4,4,2,0.0000,0.0000,0.0000,0.5000,"ClimbTo",-0.131476
