step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v9,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238451
0,B0100,L7_extend_level_aggressive,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.240243
1,A0100,adaptive_eagle_v9,HABFM,3313.147199,95.554158,84.489626,179.953250,-95.554404,14999.482272,388.247872,21672.622103,248.771702,53.858558,-91.598087,0.100482,False,False,False,False,True,True,True,2-circle,-1.000000,0.788735,100.000000,100.000000,0.000000,0.000000,-87.507848,2.505856,-0.420416,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.192431
1,B0100,L7_extend_level_aggressive,HABFM,3313.147199,95.554158,84.489626,179.953250,-95.554404,14999.482272,388.247872,21672.622103,248.771702,53.858558,-91.598087,0.100482,False,False,False,False,True,True,True,2-circle,-1.000000,0.788735,100.000000,100.000000,0.000000,0.000000,-87.507848,2.505856,-0.420416,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.212744
2,A0100,adaptive_eagle_v9,HABFM,3358.782017,101.029647,79.572277,178.158398,-101.030742,14998.104239,389.159862,21702.631168,150.045323,148.275557,-176.883634,0.061422,False,False,False,False,True,True,True,2-circle,-1.000000,5.515510,100.000000,100.000000,0.000000,0.000000,-88.560081,1.535767,-0.660243,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.137079
2,B0100,L7_extend_level_aggressive,HABFM,3358.782017,101.029647,79.572277,178.158398,-101.030742,14998.104239,389.159862,21702.631168,150.045323,148.275557,-176.883634,0.061422,False,False,False,False,True,True,True,2-circle,-1.000000,5.515510,100.000000,100.000000,0.000000,0.000000,-88.560081,1.535767,-0.660243,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.186090
3,A0100,adaptive_eagle_v9,HABFM,3431.207048,106.318203,75.799730,175.767105,-106.322093,14996.809691,390.303242,21740.791283,190.800573,280.101645,-250.058644,0.036834,False,False,False,False,True,True,True,2-circle,-1.000000,15.896701,100.000000,100.000000,0.000000,0.000000,-89.352838,0.923687,-0.406158,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.093391
3,B0100,L7_extend_level_aggressive,HABFM,3431.207048,106.318203,75.799730,175.767105,-106.322093,14996.809691,390.303242,21740.791283,190.800573,280.101645,-250.058644,0.036834,False,False,False,False,True,True,True,2-circle,-1.000000,15.896701,100.000000,100.000000,0.000000,0.000000,-89.352838,0.923687,-0.406158,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.161960
4,A0100,adaptive_eagle_v9,HABFM,3526.350904,111.359627,73.117007,173.195637,-111.366924,14995.021755,391.334229,21774.678887,169.438023,434.384538,-310.958245,0.011567,False,False,False,False,True,True,True,2-circle,-1.000000,31.833752,100.000000,100.000000,0.000000,0.000000,-90.845938,-0.290795,-0.219974,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.083067
4,B0100,L7_extend_level_aggressive,HABFM,3526.350904,111.359627,73.117007,173.195637,-111.366924,14995.021755,391.334229,21774.678887,169.438023,434.384538,-310.958245,0.011567,False,False,False,False,True,True,True,2-circle,-1.000000,31.833752,100.000000,100.000000,0.000000,0.000000,-90.845938,-0.290795,-0.219974,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.141113
5,A0100,adaptive_eagle_v9,HABFM,3640.904060,116.129201,70.630305,171.279396,-116.142675,14993.553713,392.489225,21813.289274,193.051934,549.200925,-367.109185,0.039091,False,False,False,False,True,True,True,2-circle,-1.000000,50.264880,100.000000,100.000000,0.000000,0.000000,-91.865926,-0.985444,0.009465,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.109298
5,B0100,L7_extend_level_aggressive,HABFM,3640.904060,116.129201,70.630305,171.279396,-116.142675,14993.553713,392.489225,21813.289274,193.051934,549.200925,-367.109185,0.039091,False,False,False,False,True,True,True,2-circle,-1.000000,50.264880,100.000000,100.000000,0.000000,0.000000,-91.865926,-0.985444,0.009465,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.123628
6,A0100,adaptive_eagle_v9,HABFM,3775.313002,120.622756,67.149590,170.671807,-120.651842,14991.394525,394.206111,21870.924428,288.175767,612.023040,-428.223665,0.183603,False,False,False,False,True,True,True,2-circle,-1.000000,70.167865,100.000000,100.000000,0.000000,0.000000,-86.598401,4.637833,0.162453,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.129378
6,B0100,L7_extend_level_aggressive,HABFM,3775.313002,120.622756,67.149590,170.671807,-120.651842,14991.394525,394.206111,21870.924428,288.175767,612.023040,-428.223665,0.183603,False,False,False,False,True,True,True,2-circle,-1.000000,70.167865,100.000000,100.000000,0.000000,0.000000,-86.598401,4.637833,0.162453,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.108084
